X Y N T M U V
134.375000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 3.875000 0.030000 280.557247 0.030240 -0.276181 0.610674
134.375000 4.125000 0.121000 169.313151 0.571710 -0.128415 -0.014493
134.375000 4.375000 1.940000 299.849663 10.980343 -0.027868 0.009311
134.375000 4.625000 9.127000 284.566859 50.411375 -0.051098 0.004960
134.375000 4.875000 24.605000 312.486486 151.778999 -0.026299 -0.009994
134.625000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.625000 3.875000 0.473000 288.523386 1.990915 -0.061540 -0.012375
134.625000 4.125000 2.571000 332.395040 14.179920 -0.059785 -0.045740
134.625000 4.375000 7.766000 330.529616 44.856886 -0.039774 -0.019932
134.625000 4.625000 17.764000 316.880175 108.409195 -0.023364 -0.025671
134.625000 4.875000 28.235000 306.455292 169.499973 -0.026452 -0.014737
134.875000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.875000 3.375000 0.023000 304.788070 0.023184 -0.142055 0.055394
134.875000 3.625000 0.222000 240.571882 0.988337 0.005796 -0.068915
134.875000 3.875000 1.987000 270.925434 11.117667 0.001381 0.021159
134.875000 4.125000 8.760000 324.774513 50.895949 -0.032268 -0.024801
